source_file,vendor_raw,vendor,date,year,month,day,extension,size_bytes,destination,status,reason
Google_20251230.xlsx,Google,google,2025-12-30,2025,12,30,.xlsx,5665,processed/2025/12/30/google/Google_20251230.xlsx,copied,
Google_20260213.xlsx,Google,google,2026-02-13,2026,02,13,.xlsx,5374,processed/2026/02/13/google/Google_20260213.xlsx,copied,
Google_20260301.xlsx,Google,google,2026-03-01,2026,03,01,.xlsx,5232,processed/2026/03/01/google/Google_20260301.xlsx,copied,
Google_20260315.xlsx,Google,google,2026-03-15,2026,03,15,.xlsx,5430,processed/2026/03/15/google/Google_20260315.xlsx,copied,
MicroSoft_20251230.xlsx,MicroSoft,microsoft,2025-12-30,2025,12,30,.xlsx,5722,processed/2025/12/30/microsoft/MicroSoft_20251230.xlsx,copied,
MicroSoft_20260212.csv,MicroSoft,microsoft,2026-02-12,2026,02,12,.csv,520,processed/2026/02/12/microsoft/MicroSoft_20260212.csv,copied,
MicroSoft_20260315.xlsx,MicroSoft,microsoft,2026-03-15,2026,03,15,.xlsx,5586,processed/2026/03/15/microsoft/MicroSoft_20260315.xlsx,copied,
Microsoft_20260214.xlsx,Microsoft,microsoft,2026-02-14,2026,02,14,.xlsx,5246,processed/2026/02/14/microsoft/Microsoft_20260214.xlsx,copied,
Microsoft_20260301.xlsx,Microsoft,microsoft,2026-03-01,2026,03,01,.xlsx,5181,processed/2026/03/01/microsoft/Microsoft_20260301.xlsx,copied,
NVIDIA_20251230.csv,NVIDIA,nvidia,2025-12-30,2025,12,30,.csv,436,processed/2025/12/30/nvidia/NVIDIA_20251230.csv,copied,
NVIDIA_20260115.xlsx,NVIDIA,nvidia,2026-01-15,2026,01,15,.xlsx,5658,processed/2026/01/15/nvidia/NVIDIA_20260115.xlsx,copied,
NVIDIA_20260228.xlsx,NVIDIA,nvidia,2026-02-28,2026,02,28,.xlsx,5706,processed/2026/02/28/nvidia/NVIDIA_20260228.xlsx,copied,
NVIDIA_20260301.xlsx,NVIDIA,nvidia,2026-03-01,2026,03,01,.xlsx,5367,processed/2026/03/01/nvidia/NVIDIA_20260301.xlsx,copied,
NVIDIA_20260315.xlsx,NVIDIA,nvidia,2026-03-15,2026,03,15,.xlsx,5760,processed/2026/03/15/nvidia/NVIDIA_20260315.xlsx,copied,
Nvidia_20260212.xlsx,Nvidia,nvidia,2026-02-12,2026,02,12,.xlsx,5240,processed/2026/02/12/nvidia/Nvidia_20260212.xlsx,copied,
amazon_20251230.csv,amazon,amazon,2025-12-30,2025,12,30,.csv,748,processed/2025/12/30/amazon/amazon_20251230.csv,copied,
amazon_20251231.csv,amazon,amazon,2025-12-31,2025,12,31,.csv,407,processed/2025/12/31/amazon/amazon_20251231.csv,copied,
amazon_20260115.xlsx,amazon,amazon,2026-01-15,2026,01,15,.xlsx,5430,processed/2026/01/15/amazon/amazon_20260115.xlsx,copied,
amazon_20260228.csv,amazon,amazon,2026-02-28,2026,02,28,.csv,618,processed/2026/02/28/amazon/amazon_20260228.csv,copied,
amazon_20260315.xlsx,amazon,amazon,2026-03-15,2026,03,15,.xlsx,5301,processed/2026/03/15/amazon/amazon_20260315.xlsx,copied,
anthroPIC_20260315.xlsx,anthroPIC,anthropic,2026-03-15,2026,03,15,.xlsx,5754,processed/2026/03/15/anthropic/anthroPIC_20260315.xlsx,copied,
anthropic_20251230.xlsx,anthropic,anthropic,2025-12-30,2025,12,30,.xlsx,5517,processed/2025/12/30/anthropic/anthropic_20251230.xlsx,copied,
anthropic_20251231.csv,anthropic,anthropic,2025-12-31,2025,12,31,.csv,816,processed/2025/12/31/anthropic/anthropic_20251231.csv,copied,
anthropic_20260105.csv,anthropic,anthropic,2026-01-05,2026,01,05,.csv,1376,processed/2026/01/05/anthropic/anthropic_20260105.csv,copied,
anthropic_20260228.xlsx,anthropic,anthropic,2026-02-28,2026,02,28,.xlsx,5612,processed/2026/02/28/anthropic/anthropic_20260228.xlsx,copied,
apple_20260105.xlsx,apple,apple,2026-01-05,2026,01,05,.xlsx,5677,processed/2026/01/05/apple/apple_20260105.xlsx,copied,
apple_20260115.csv,apple,apple,2026-01-15,2026,01,15,.csv,410,processed/2026/01/15/apple/apple_20260115.csv,copied,
apple_20260213.xlsx,apple,apple,2026-02-13,2026,02,13,.xlsx,5561,processed/2026/02/13/apple/apple_20260213.xlsx,copied,
google_20260115.xlsx,google,google,2026-01-15,2026,01,15,.xlsx,5186,processed/2026/01/15/google/google_20260115.xlsx,copied,
google_20260228.xlsx,google,google,2026-02-28,2026,02,28,.xlsx,5500,processed/2026/02/28/google/google_20260228.xlsx,copied,
microsoft_20251231.xlsx,microsoft,microsoft,2025-12-31,2025,12,31,.xlsx,5260,processed/2025/12/31/microsoft/microsoft_20251231.xlsx,copied,
microsoft_20260105.csv,microsoft,microsoft,2026-01-05,2026,01,05,.csv,1358,processed/2026/01/05/microsoft/microsoft_20260105.csv,copied,
microsoft_20260115.xlsx,microsoft,microsoft,2026-01-15,2026,01,15,.xlsx,5257,processed/2026/01/15/microsoft/microsoft_20260115.xlsx,copied,
microsoft_20260213.csv,microsoft,microsoft,2026-02-13,2026,02,13,.csv,891,processed/2026/02/13/microsoft/microsoft_20260213.csv,copied,
microsoft_20260228.xlsx,microsoft,microsoft,2026-02-28,2026,02,28,.xlsx,5402,processed/2026/02/28/microsoft/microsoft_20260228.xlsx,copied,
nVidia_20260213.xlsx,nVidia,nvidia,2026-02-13,2026,02,13,.xlsx,5724,processed/2026/02/13/nvidia/nVidia_20260213.xlsx,copied,
nVidia_20260214.xlsx,nVidia,nvidia,2026-02-14,2026,02,14,.xlsx,5434,processed/2026/02/14/nvidia/nVidia_20260214.xlsx,copied,
nvidia_20251231.csv,nvidia,nvidia,2025-12-31,2025,12,31,.csv,1143,processed/2025/12/31/nvidia/nvidia_20251231.csv,copied,
nvidia_20260105.csv,nvidia,nvidia,2026-01-05,2026,01,05,.csv,1278,processed/2026/01/05/nvidia/nvidia_20260105.csv,copied,
